Month,Mean U10 (m/s),Mean V10 (m/s),Mean Speed (m/s),P90 Speed (m/s),Max Speed (m/s)
Jan,-2.025,-1.464,3.155,5.201,8.434
Feb,-2.026,-0.57,3.111,4.749,7.658
Mar,-2.085,0.657,2.888,3.885,7.453
Apr,-1.716,0.973,2.797,3.84,7.959
May,-0.792,1.228,2.21,3.299,6.533
Jun,0.2,1.565,2.191,3.158,5.623
Jul,0.459,1.294,2.261,3.473,6.003
Aug,0.687,1.174,2.184,3.49,6.748
Sep,-0.167,0.215,2.016,3.466,8.769
Oct,-1.065,-1.524,2.926,5.019,11.326
Nov,-2.142,-1.919,3.459,5.718,9.123
Dec,-2.179,-2.737,3.908,6.104,8.254
